fn,unit,signal,hint,pinobj,comments
hw,-,-,rt117x,seekfree_art_plus,
led,1,-,-,DISP_B2_03,
led,2,-,-,DISP_B1_07,
led,3,-,-,DISP_B1_05,
led,4,-,-,DISP_B2_08,
pin,-,J25,-,AD_26,
pin,-,J26,-,AD_27,
pin,-,J27,-,AD_28,
pin,-,J28,-,AD_29,
pin,-,M12,-,LPSR_12,
pin,-,M11,-,LPSR_11,
pin,-,M10,-,LPSR_10,
pin,-,M9,-,LPSR_09,
pin,-,M4,-,LPSR_04,
pin,-,M5,-,LPSR_05,
pin,-,J6,-,AD_07,
adc,-,A0,1,AD_26,
adc,-,A1,1,AD_27,
adc,-,A2,1,AD_28,
adc,-,A3,1,AD_29,
pwm,-,CH1,f2.a1,AD_26,
pwm,-,CH2,f2.b1,AD_27,
pwm,-,CH3,f2.a2,AD_28,
pwm,-,CH4,f2.b2,AD_29,
uart,5,TXD,-,AD_28,
uart,5,RXD,-,AD_29,
uart,11,TXD,-,LPSR_04,
uart,11,RXD,-,LPSR_05,
uart,12,TXD,-,LPSR_06,
uart,12,RXD,-,LPSR_07,
i2c,5,SDA,-,LPSR_04,
i2c,5,SCL,-,LPSR_05,
i2c,6,SDA,-,LPSR_06,
i2c,6,SCL,-,LPSR_07,
spi,6,SCK,-,LPSR_10,
spi,6,PCS0,-,LPSR_09,
spi,6,SDO,-,LPSR_11,
spi,6,SDI,-,LPSR_12,
